"","x_vals","mean.h"
"h608",2020-06-03,-8.14694884442168
"h609",2020-06-04,-8.1128464318529
"h610",2020-06-05,-8.07056446071565
"h611",2020-06-08,-8.04425602151039
"h612",2020-06-09,-8.02218644467101
"h613",2020-06-10,-7.98717622402062
"h614",2020-06-11,-7.94212918899019
"h615",2020-06-12,-7.99721244410182
"h616",2020-06-15,-8.05256211993489
"h617",2020-06-16,-8.10734678890493
"h618",2020-06-17,-8.16488407860779
"h619",2020-06-18,-8.21557691248246
"h620",2020-06-19,-8.24942350568709
"h621",2020-06-22,-8.27137751046724
"h622",2020-06-23,-8.28537139505484
"h623",2020-06-24,-8.29100262959636
"h624",2020-06-25,-8.32609256689581
"h625",2020-06-26,-8.35685112743664
"h626",2020-06-29,-8.40916140298167
"h627",2020-06-30,-8.46540309801162
"h628",2020-07-01,-8.53057702094773
"h629",2020-07-02,-8.58530466763854
"h630",2020-07-06,-8.63208296893951
"h631",2020-07-07,-8.68731811135543
"h632",2020-07-08,-8.74145598685458
"h633",2020-07-09,-8.78863055759552
"h634",2020-07-10,-8.8300003441917
"h635",2020-07-13,-8.86747749894174
"h636",2020-07-14,-8.90189037029611
"h637",2020-07-15,-8.94602814314878
"h638",2020-07-16,-8.98821073984225
"h639",2020-07-17,-9.0201440212578
"h640",2020-07-20,-9.04561559522674
"h641",2020-07-21,-9.07997281248673
"h642",2020-07-22,-9.10547393321922
"h643",2020-07-23,-9.12691636543208
"h644",2020-07-24,-9.15595672016655
"h645",2020-07-27,-9.17985557040626
"h646",2020-07-28,-9.20273118940533
"h647",2020-07-29,-9.22363454168483
"h648",2020-07-30,-9.25812583199266
"h649",2020-07-31,-9.28146064548982
"h650",2020-08-03,-9.30368356446759
"h651",2020-08-04,-9.32080453965648
"h652",2020-08-05,-9.32616843793795
"h653",2020-08-06,-9.33024400248419
"h654",2020-08-07,-9.33228700840915
"h655",2020-08-10,-9.32956813804772
"h656",2020-08-11,-9.32554343458534
"h657",2020-08-12,-9.32273100198776
"h658",2020-08-13,-9.33675401384485
"h659",2020-08-14,-9.33969423115385
"h660",2020-08-17,-9.32947600224249
"h661",2020-08-18,-9.30943759558858
"h662",2020-08-19,-9.27606230490177
"h663",2020-08-20,-9.24341209547743
"h664",2020-08-21,-9.1951697997708
"h665",2020-08-24,-9.14007544232209
"h666",2020-08-25,-9.08183568813266
"h667",2020-08-26,-9.00958381955339
"h668",2020-08-27,-8.94309885325827
"h669",2020-08-28,-8.86704572332622
"h670",2020-08-31,-8.78186973780614
"h671",2020-09-01,-8.68854375746817
"h672",2020-09-02,-8.58847732991688
"h673",2020-09-03,-8.49283924163702
"h674",2020-09-04,-8.46273944068968
"h675",2020-09-08,-8.42998987790657
"h676",2020-09-09,-8.43353355651612
"h677",2020-09-10,-8.45602693234471
"h678",2020-09-11,-8.49098125785896
"h679",2020-09-14,-8.51054146475574
"h680",2020-09-15,-8.5271437177465
"h681",2020-09-16,-8.53457662309738
"h682",2020-09-17,-8.54041827812807
"h683",2020-09-18,-8.53855817573282
"h684",2020-09-21,-8.53801565568433
"h685",2020-09-22,-8.53834671006909
"h686",2020-09-23,-8.53547929951315
"h687",2020-09-24,-8.56558685602787
"h688",2020-09-25,-8.58244865383918
"h689",2020-09-28,-8.59818503082947
"h690",2020-09-29,-8.61957971731088
"h691",2020-09-30,-8.63188521188424
"h692",2020-10-01,-8.63895342006247
"h693",2020-10-02,-8.63388788724448
"h694",2020-10-05,-8.62901950724513
"h695",2020-10-06,-8.64163470091887
"h696",2020-10-07,-8.65300758750694
